order_id,date,month,quarter,year,region,category,product,sales_rep,units_sold,unit_price,discount_pct,revenue,cost,profit,profit_margin,customer_rating
ORD-10060,2022-01-01,1,1,2022,East,Home & Garden,Vacuum,David Brown,13,228.7,0.2,2021.71,1847.28,174.43,8.63,3.6
ORD-10803,2022-01-01,1,1,2022,East,Electronics,Tablet,Alice Johnson,4,553.37,0.15,1599.24,1417.61,181.63,11.36,5.0
ORD-10765,2022-01-02,1,1,2022,North,Electronics,Headphones,Alice Johnson,12,158.61,0.05,1536.93,1256.03,280.9,18.28,2.7
ORD-10122,2022-01-03,1,1,2022,East,Home & Garden,Blender,Eva Martinez,43,56.87,0.15,1766.81,1645.89,120.92,6.84,3.9
ORD-10753,2022-01-04,1,1,2022,East,Electronics,Headphones,David Brown,14,170.75,0.15,1727.14,1455.1,272.04,15.75,4.8
ORD-10464,2022-01-04,1,1,2022,West,Electronics,Tablet,Eva Martinez,8,539.14,0.05,3482.84,2240.22,1242.62,35.68,3.9
ORD-10842,2022-01-04,1,1,2022,West,Sports,Yoga Mat,Eva Martinez,35,32.94,0.1,881.97,653.33,228.64,25.92,4.8
ORD-10754,2022-01-06,1,1,2022,West,Clothing,Sneakers,Eva Martinez,43,90.4,0.15,2808.5,2296.35,512.15,18.24,5.0
ORD-10768,2022-01-07,1,1,2022,North,Home & Garden,Plant Pot,David Brown,47,21.54,0.2,688.42,630.91,57.51,8.35,3.8
ORD-10614,2022-01-08,1,1,2022,West,Clothing,T-Shirt,David Brown,24,26.2,0.0,534.48,333.86,200.62,37.54,5.0
ORD-10672,2022-01-09,1,1,2022,South,Electronics,Smartphone,Alice Johnson,4,796.08,0.05,2571.34,1809.91,761.43,29.61,2.9
ORD-10646,2022-01-10,1,1,2022,South,Sports,Water Bottle,Bob Smith,41,18.99,0.2,529.44,472.45,56.99,10.76,4.8
ORD-10930,2022-01-11,1,1,2022,North,Electronics,Smart Watch,Bob Smith,10,312.88,0.05,2526.51,1680.03,846.48,33.5,4.5
ORD-10577,2022-01-12,1,1,2022,South,Electronics,Laptop,Alice Johnson,5,1233.59,0.2,4194.21,3570.11,624.1,14.88,4.9
ORD-10097,2022-01-15,1,1,2022,South,Home & Garden,Coffee Maker,Alice Johnson,36,71.87,0.1,1979.3,1654.55,324.75,16.41,4.3
ORD-10157,2022-01-17,1,1,2022,South,Home & Garden,Coffee Maker,Bob Smith,48,75.9,0.15,2632.21,2204.93,427.28,16.23,4.1
ORD-10323,2022-01-18,1,1,2022,East,Food & Beverage,Green Tea,Alice Johnson,33,11.42,0.15,272.28,249.19,23.09,8.48,4.1
ORD-10261,2022-01-18,1,1,2022,East,Home & Garden,Coffee Maker,David Brown,38,79.77,0.1,2318.91,1998.66,320.25,13.81,4.4
ORD-10850,2022-01-20,1,1,2022,West,Food & Beverage,Coffee Beans,Bob Smith,45,18.32,0.05,665.7,414.57,251.13,37.72,4.2
ORD-10772,2022-01-20,1,1,2022,South,Food & Beverage,Green Tea,Carol White,5,11.06,0.05,44.65,30.75,13.9,31.13,4.2
ORD-10966,2022-01-20,1,1,2022,South,Food & Beverage,Energy Bars,Bob Smith,43,20.41,0.15,634.09,485.84,148.25,23.38,4.0
ORD-10019,2022-01-20,1,1,2022,North,Home & Garden,Plant Pot,Bob Smith,4,19.61,0.05,63.34,52.99,10.35,16.34,4.0
ORD-10899,2022-01-26,1,1,2022,West,Sports,Dumbbells,David Brown,21,84.3,0.05,1429.52,886.67,542.85,37.97,3.9
ORD-10110,2022-01-27,1,1,2022,North,Clothing,Dress,Eva Martinez,2,93.72,0.1,143.39,115.32,28.07,19.58,2.7
ORD-10769,2022-01-30,1,1,2022,South,Clothing,T-Shirt,Carol White,44,22.36,0.15,710.82,672.19,38.63,5.43,2.1
ORD-10730,2022-01-31,1,1,2022,East,Clothing,Sneakers,Carol White,26,98.31,0.05,2064.02,1322.91,741.11,35.91,3.0
ORD-10773,2022-02-01,2,1,2022,East,Sports,Resistance Bands,Bob Smith,37,15.68,0.2,394.51,335.28,59.23,15.01,4.4
ORD-10757,2022-02-03,2,1,2022,East,Home & Garden,Coffee Maker,Alice Johnson,7,82.16,0.15,415.52,401.86,13.66,3.29,4.0
ORD-10105,2022-02-03,2,1,2022,South,Home & Garden,Plant Pot,David Brown,5,19.54,0.05,78.89,66.9,11.99,15.2,4.7
ORD-10623,2022-02-04,2,1,2022,South,Food & Beverage,Protein Powder,Alice Johnson,24,42.82,0.05,829.85,648.47,181.38,21.86,3.4
ORD-10676,2022-02-04,2,1,2022,South,Sports,Yoga Mat,Eva Martinez,43,34.15,0.05,1185.77,873.09,312.68,26.37,4.4
ORD-10831,2022-02-04,2,1,2022,North,Food & Beverage,Coffee Beans,Alice Johnson,39,16.89,0.05,531.91,454.57,77.34,14.54,3.5
ORD-10471,2022-02-05,2,1,2022,South,Electronics,Headphones,Bob Smith,3,147.13,0.05,356.42,292.06,64.36,18.06,3.8
ORD-10770,2022-02-06,2,1,2022,South,Sports,Dumbbells,David Brown,35,75.9,0.1,2032.22,1573.96,458.26,22.55,5.0
ORD-10621,2022-02-08,2,1,2022,West,Sports,Resistance Bands,Eva Martinez,19,14.56,0.2,188.12,141.5,46.62,24.78,3.5
ORD-10811,2022-02-08,2,1,2022,West,Home & Garden,Coffee Maker,Eva Martinez,31,78.45,0.0,2067.16,1285.08,782.08,37.83,3.3
ORD-10051,2022-02-09,2,1,2022,West,Clothing,Sneakers,David Brown,23,88.46,0.1,1556.45,1351.18,205.27,13.19,3.4
ORD-10685,2022-02-10,2,1,2022,West,Sports,Resistance Bands,Carol White,35,14.87,0.15,376.03,279.98,96.05,25.54,5.0
ORD-10191,2022-02-12,2,1,2022,West,Food & Beverage,Protein Powder,Carol White,39,40.22,0.15,1133.3,941.58,191.72,16.92,3.7
ORD-10602,2022-02-14,2,1,2022,South,Food & Beverage,Olive Oil,Bob Smith,9,13.33,0.2,81.58,60.93,20.65,25.31,4.2
ORD-10005,2022-02-14,2,1,2022,West,Food & Beverage,Coffee Beans,David Brown,6,17.58,0.2,71.73,58.92,12.81,17.86,3.9
ORD-10056,2022-02-15,2,1,2022,West,Electronics,Smart Watch,Eva Martinez,11,300.9,0.05,2672.74,1896.06,776.68,29.06,5.0
ORD-10294,2022-02-16,2,1,2022,West,Home & Garden,Coffee Maker,Eva Martinez,4,78.11,0.0,265.57,217.84,47.73,17.97,3.2
ORD-10523,2022-02-16,2,1,2022,North,Clothing,Sneakers,Carol White,23,97.58,0.15,1621.54,1550.88,70.66,4.36,3.0
ORD-10258,2022-02-16,2,1,2022,North,Clothing,T-Shirt,David Brown,34,26.91,0.15,661.04,484.72,176.32,26.67,3.4
ORD-10417,2022-02-17,2,1,2022,West,Electronics,Headphones,Carol White,13,149.74,0.1,1489.16,1100.74,388.42,26.08,4.2
ORD-10131,2022-02-17,2,1,2022,East,Electronics,Tablet,Carol White,6,460.87,0.15,1997.87,1463.12,534.75,26.77,3.4
ORD-10014,2022-02-18,2,1,2022,North,Clothing,Sneakers,David Brown,39,91.66,0.0,3038.53,2062.46,976.07,32.12,3.6
